,src_sent,pred_sent,reference_naa,bleu_score
0,"""E será que todo aquele que ficar de resto da tua casa virá a inclinar-se diante dele, por uma moeda de prata e por um bocado de pão, e dirá: Rogo-te que me admitas a algum ministério sacerdotal, para que possa comer um pedaço de pão.""
","""Se todo aquele que ficar de serviço da sua casa virá a inclinar-se diante dele, por um pedaço de pão, e por um pedaço de pão e dirá: “Hoje que me apoiarão a algum ministério de para comer um pedaço de pão.""
","""E todo aquele que restar da sua casa virá a inclinar-se diante dele, para obter uma moeda de prata e um bocado de pão. E dirá: ‘Peço que você me dê um dos cargos sacerdotais, para que eu tenha um pedaço de pão para comer.’”""
",27.730393828466116
1,"""Depois, tomarás um carneiro, e Arão e seus filhos porão as mãos sobre a cabeça do carneiro,""
","""Depois você pegará um carneiro, e Arão e seus filhos porão as mãos do carneiro,""
","""— Depois você pegará um dos carneiros, e Arão e seus filhos porão as mãos sobre a cabeça dele.""
",46.841085796688816
2,"""E a fome era gravíssima na terra.""
","""Ora, a fome era gravíssima na terra.""
","""A fome continuava gravíssima na terra.""
",38.16330911371339
3,"""Vós, todos os habitantes do mundo, e vós, os moradores da terra, quando se arvorar a bandeira nos montes, o vereis; e, quando se tocar a trombeta, o ouvireis.""
","""Vocês, todos os moradores do mundo, e vocês, os moradores da terra, quando se tornaram estandarte para os montes, e assim quando se tocar a trombeta, o santos.""
","""Todos vocês, habitantes do mundo, os moradores da terra, olhem bem quando a bandeira for levantada nos montes. Quando a trombeta soar, escutem!""
",19.787401766449317
4,"""Até o seu amor, o seu ódio e a sua inveja já pereceram e já não têm parte alguma neste século, em coisa alguma do que se faz debaixo do sol.""
","""Até o seu amor, o amor, o seu ódio e a sua inveja já nasceram e já não têm parte alguma neste século, em coisa alguma é, debaixo do sol.""
","""Amor, ódio e inveja para eles já não existem mais; eles estão afastados para sempre de tudo o que se faz debaixo do sol.""
",13.108369255325433
5,"""os quais, por castigo, padecerão eterna perdição, ante a face do Senhor e a glória do seu poder,""
","""Estes ficarão indignado padecerão eterna eterna eterna do Senhor e a glória do seu poder,""
","""Estes sofrerão penalidade de eterna destruição, banidos da face do Senhor e da glória do seu poder,""
",31.67561402370862
6,"""então, abre os ouvidos dos homens, e lhes sela a sua instrução,""
","""então morre os ouvidos dos homens e lhes sela no meio de Jesus.""
","""então lhes abre os ouvidos e lhes sela a sua instrução,""
",9.25159978069645
7,"""Mas, nos profetas de Jerusalém, vejo uma coisa horrenda: cometem adultérios, e andam com falsidade, e esforçam as mãos dos malfeitores, para que não se convertam da sua maldade; eles têm-se tornado para mim como Sodoma, e os moradores dela, como Gomorra.""
","""Mas, nos profetas de Jerusalém, vejo que vejo uma coisa horrenda: cometem adultérios, rocha, as mãos dos malfeitores, e se desviassem as mãos dos malfeitores, para que não se convertam para mim como não se tornado para mim como Sodoma, como os moradores dela, como Gomorra.""
","""Mas nos profetas de Jerusalém vejo coisa horrenda: cometem adultério, andam com falsidade e fortalecem as mãos dos malfeitores, para que não se convertam da sua maldade. Para mim, todos eles se tornaram como Sodoma, e os moradores de Jerusalém, como Gomorra.""
",35.855653108757785
8,"""Assim diz o Senhor JEOVÁ: Um mal, eis que um só mal vem.""
","""— Assim diz o SENHOR Deus: “Senhor, mal, eis que um mal vem.""
","""— Assim diz o SENHOR Deus: “Calamidade após calamidade, eis que vêm.""
",47.02773871923358
9,"""E os filhos de Jônatas foram Pelete e Zaza; estes foram os filhos de Jerameel.""
","""Os filhos de Jônatas foram: Pelete e Zaza; estes foram os filhos de Jerameel."" os filhos de Israel.""
","""Os filhos de Jônatas foram: Pelete e Zaza; estes foram os filhos de Jerameel.""
",74.40006427141951
10,"""Envie-te socorro desde o seu santuário e te sustenha desde Sião.""
","""Envie-te socorro desde o seu santuário e se desvia desde Sião.""
","""Que do seu santuário lhe envie socorro e que desde Sião o sustenha.""
",5.153199014184897
11,"""porque tinha curado a muitos, de tal maneira que todos quantos tinham algum mal se arrojavam sobre ele, para lhe tocarem.""
","""Porque tinha curado se curado no muitos, de tal maneira que todos os que tinham sido esposa? Porque lhe tocarem."" para o povo.""
","""Pois curava muitas pessoas, de modo que todos os que tinham alguma enfermidade se esforçavam para chegar perto, a fim de poderem tocar nele.""
",16.008869879314716
12,"""E ligaram-se entre si todos, para virem atacar Jerusalém e para os desviarem do seu intento.""
","""E ligaram-se entre si todos, para virem virem Jerusalém, e para o seu favor.""
","""Todos se ajuntaram de comum acordo para virem atacar Jerusalém e criar confusão ali.""
",3.5025412310639736
13,"""e dou-lhes a vida eterna, e nunca hão de perecer, e ninguém as arrebatará das minhas mãos.""
","""e dou-lhes a vida eterna, e nunca perecer, e não mãos.""
","""Eu lhes dou a vida eterna; jamais perecerão, e ninguém as arrebatará da minha mão.""
",7.205153153869633
14,"""Melhor é a sabedoria do que as armas de guerra, mas um só pecador destrói muitos bens.""
","""Melhor é a sabedoria do que as armas de guerra, mas um só pecador destrói muitos bens.""
","""Melhor é a sabedoria do que as armas de guerra, mas um só pecador destrói muitas coisas boas.""
",79.041635064392
15,"""E o Anjo do SENHOR apareceu a esta mulher e disse-lhe: Eis que, agora, és estéril e nunca tens concebido; porém conceberás e terás um filho.""
","""Os Anjo do SENHOR apareceu a esta mulher e lhe disse: — Eis que, agora, és estéril e nunca você tem relações com um filho.""
","""O Anjo do SENHOR apareceu a essa mulher e lhe disse: — Eis que você é estéril e nunca teve filhos, mas você ficará grávida e dará à luz um filho.""
",39.579702124612545
16,"""o cavalo de guerra, bem-cingido pelos lombos; o bode também; e o rei, a quem se não pode resistir.""
","""o cavalo de guerra, bem-cingido pelos lombos; o bode e o rei, a quem se pode resistir.""
","""o galo, que anda ereto; o bode; e o rei, a quem não se pode resistir.""
",44.26623526629487
17,"""Estas são as famílias de Issacar, segundo os que foram deles contados, sessenta e quatro mil e trezentos.""
","""São estas as famílias de Issacar, segundo os que foram deles contados, num total de sessenta e quatro mil e trezentos."" com ele.""
","""São estas as famílias de Issacar, segundo os que foram deles contados, num total de sessenta e quatro mil e trezentos.""
",85.94148359295417
18,"""Por quê? Porque não foi pela fé, mas como que pelas obras da lei. Tropeçaram na pedra de tropeço,""
","""Por causa da lei Porque não foi pela fé, mas como que pelas obras da Lei Tropeçaram na pedra de tropeço,"" Tropeçaram na pedra de Deus;""
","""Por quê? Porque não a buscou pela fé, mas como que por obras. Tropeçaram na pedra de tropeço,""
",36.151920269854195
19,"""apesar de não haver violência nas minhas mãos e de ser pura a minha oração.""
","""apesar de não haver violência nas minhas mãos e a minha oração.""
","""embora não haja violência nas minhas mãos, e seja pura a minha oração.”""
",29.813348118712096
