,src_sent,pred_sent,reference_nlth,bleu_score
0,"""E será que todo aquele que ficar de resto da tua casa virá a inclinar-se diante dele, por uma moeda de prata e por um bocado de pão, e dirá: Rogo-te que me admitas a algum ministério sacerdotal, para que possa comer um pedaço de pão.""
","""E todo o resto do resto do resto do resto do resto do resto da sua família virá diante de uma oferta de alimento para que comer as ofertas de alimento para que comer um pedaço de que comer um pedaço de pão.""
","""E todos os outros descendentes de você que, por acaso, ficarem com vida terão de se curvar diante do rei para pedir dinheiro e comida e implorarão para ajudar os sacerdotes, a fim de terem alguma coisa para comer.""
",1.6051679053388788
1,"""Depois, tomarás um carneiro, e Arão e seus filhos porão as mãos sobre a cabeça do carneiro,""
","""— Depois de um carneiro, Arão e Arão e os seus filhos porão as mãos em sinal de tristeza.""
","""— Depois pegue um dos carneiros, e Arão e os seus filhos porão as mãos na cabeça dele.""
",44.65175411019042
2,"""E a fome era gravíssima na terra.""
","""Isso aconteceu com a fome de Deus, o terra.""
","""A fome continuava muito grande em Canaã.""
",3.9073802494525003
3,"""Vós, todos os habitantes do mundo, e vós, os moradores da terra, quando se arvorar a bandeira nos montes, o vereis; e, quando se tocar a trombeta, o ouvireis.""
","""Vocês os povos do mundo e os seus moradores e todos os moradores de todas as nações da bandeira nos montes reconhecerão que o SENHOR Deus está falando.""
","""Escutem, todos os povos do mundo, todos os moradores da terra! Vejam a bandeira que será levantada nas montanhas e ouçam o som da corneta.""
",13.750902305262402
4,"""Até o seu amor, o seu ódio e a sua inveja já pereceram e já não têm parte alguma neste século, em coisa alguma do que se faz debaixo do sol.""
","""As inveja do seu ódio e a inveja deles e a inveja já não têm inveja do que e a inveja deles já não vale nada do que ele deu.""
","""Os seus amores, os seus ódios, as suas paixões, tudo isso morreu com eles. Nunca mais tomarão parte naquilo que acontece neste mundo.""
",1.4206211665096875
5,"""os quais, por castigo, padecerão eterna perdição, ante a face do Senhor e a glória do seu poder,""
","""Eu te peço que os tolos continuem a fim de que vocês recebam o que vocês têm.""
","""Eles serão castigados com a destruição eterna e ficarão longe da presença do Senhor e do seu glorioso poder.""
",2.191337616361893
6,"""então, abre os ouvidos dos homens, e lhes sela a sua instrução,""
","""Em vez disso os ouvidos deles e os seus homens estavam cheios de medo.""
","""Deus fala aos nossos ouvidos, e os seus avisos nos enchem de medo.""
",22.048872820716333
7,"""Mas, nos profetas de Jerusalém, vejo uma coisa horrenda: cometem adultérios, e andam com falsidade, e esforçam as mãos dos malfeitores, para que não se convertam da sua maldade; eles têm-se tornado para mim como Sodoma, e os moradores dela, como Gomorra.""
","""Mas, nos profetas de Jerusalém vejo uma coisa que não agradam a Deus e não se importam com as pessoas que vivem em Jasa. Mas as pessoas que estão escritas juntos, e Gomorra.""
","""Mas vejo que os profetas de Jerusalém fazem pior ainda: cometem adultério, dizem mentiras, ajudam os outros a fazerem o mal, e assim ninguém para de fazer o que é errado. Para mim, todos eles são como a cidade de Sodoma, são tão maus como o povo de Gomorra.""
",3.3440447546046577
8,"""Assim diz o Senhor JEOVÁ: Um mal, eis que um só mal vem.""
","""O SENHOR Deus disse: — O SENHOR Deus está falando.""
","""O que o SENHOR Deus diz é isto: — Cairão sobre vocês desastres, um em cima do outro.""
",3.17641219701554
9,"""E os filhos de Jônatas foram Pelete e Zaza; estes foram os filhos de Jerameel.""
","""São estes os filhos de Jônatas e Zaza; com os filhos de Jerameel.""
","""e Jônatas foi pai de dois filhos: Pelete e Zaza. Todos esses foram descendentes de Jerameel.""
",15.289331961088024
10,"""Envie-te socorro desde o seu santuário e te sustenha desde Sião.""
","""Envie-te ""Envie-te ""Envie-te desde o seu Templo e por isso os seus descendentes.""
","""Que, do seu Templo, Deus lhe envie socorro, e que, do monte Sião, ele o ajude!""
",2.1542188325438265
11,"""porque tinha curado a muitos, de tal maneira que todos quantos tinham algum mal se arrojavam sobre ele, para lhe tocarem.""
","""Pois todos os que tinham sido fiéis a respeito da morte que tinham um que tinham feito com todos os seus próprios amigos.""
","""Pois ele estava curando tanta gente, que todos os doentes se juntavam em volta dele para tocá-lo.""
",2.7659333772326384
12,"""E ligaram-se entre si todos, para virem atacar Jerusalém e para os desviarem do seu intento.""
","""Por causa da morte virem para que virem Jerusalém atacar Jerusalém e os desviarem do seu povo.""
","""Aí se reuniram e combinaram que viriam juntos atacar Jerusalém e provocar confusão.""
",6.5189637776671665
13,"""e dou-lhes a vida eterna, e nunca hão de perecer, e ninguém as arrebatará das minhas mãos.""
","""e dou-lhes a vida eterna, e todos os pecados das maldades que fazem com que eu possa salvar.""
","""Eu lhes dou a vida eterna, e por isso elas nunca morrerão. Ninguém poderá arrancá-las da minha mão.""
",18.37408660732509
14,"""Melhor é a sabedoria do que as armas de guerra, mas um só pecador destrói muitos bens.""
","""É melhor um homem que pode ter um homem que pode ser medidos.""
","""A sabedoria vale mais do que armas de guerra, mas uma decisão errada pode estragar os melhores planos.""
",2.2480781934617333
15,"""E o Anjo do SENHOR apareceu a esta mulher e disse-lhe: Eis que, agora, és estéril e nunca tens concebido; porém conceberás e terás um filho.""
","""O Anjo do SENHOR apareceu a mulher do SENHOR apareceu a mulher e disse: — Você é um filho.""
","""O Anjo do SENHOR apareceu a ela e disse: — Você não podia ter filhos e por isso nunca foi mãe. Mas agora você ficará grávida e terá um filho.""
",30.363509464288544
16,"""o cavalo de guerra, bem-cingido pelos lombos; o bode também; e o rei, a quem se não pode resistir.""
","""Ele fez com que os israelitas vejam o que ele tem feito com o rei do rei do rei.""
","""o bode; o galo, que anda de peito erguido; e um rei diante do seu povo.""
",2.598161264714832
17,"""Estas são as famílias de Issacar, segundo os que foram deles contados, sessenta e quatro mil e trezentos.""
","""Desses grupos de famílias foram contados sessenta e quatro mil homens de valor.""
","""Desses grupos de famílias foram contados sessenta e quatro mil e trezentos homens.""
",70.98108717509045
18,"""Por quê? Porque não foi pela fé, mas como que pelas obras da lei. Tropeçaram na pedra de tropeço,""
","""Por que é que vocês estão fazendo com que a fé que é pela nossa maneira de agir Tropeçaram na maneira de sofrimento.""
","""E por que não? Porque eles procuravam alcançar isso por meio das suas ações e não por meio da fé. Eles tropeçaram na “pedra de tropeço”,""
",0.9750866978233997
19,"""apesar de não haver violência nas minhas mãos e de ser pura a minha oração.""
","""Que a minha oração.""
","""No entanto, nunca fui violento, e as minhas orações sempre foram sinceras.""
",1.8526347408173314
20,"""E também disse o rei assim: Bendito o SENHOR, Deus de Israel, que hoje tem dado quem se assente no meu trono e que os meus olhos o vissem.""
","""E o rei disse o SENHOR, o Deus de Israel, o SENHOR, o Deus do povo de Israel. Ele fez o que ele mandou.""
","""e orou assim: “Louvado seja o SENHOR, o Deus de Israel, que hoje colocou um dos meus descendentes como rei em meu lugar e deixou que eu vivesse para ver isso!”""
",19.17670091080109
21,"""e Naassom gerou a Salma, e Salma gerou a Boaz;""
","""Como foi pai de dois filhos: e Salma o pai de Boaz;"" .""
","""Nasom foi pai de Salma, e Salma foi pai de Boaz;""
",30.26300230972924
22,"""A voz do SENHOR clama à cidade, e o sábio verá o teu nome: Ouvi a vara e quem a ordenou.""
","""— O SENHOR diz ao SENHOR Deus, o seu Deus, verá o seu nome e o seu nome e o seu nome e o seu povo.""
","""O SENHOR está falando com a cidade de Jerusalém, e os que são sábios ouvem com respeito o que Deus está dizendo. Ele diz: — Tribo de Judá e moradores de Jerusalém, escutem!""
",1.5236688850546485
23,"""Pelo que estou cheio do furor do SENHOR; estou cansado de o conter; derramá-lo-ei sobre os meninos pelas ruas e nas reuniões dos jovens juntamente; porque até o marido com a mulher serão presos, e o velho, com o que está cheio de dias.""
","""Por isso, estou cheio de alegria de Deus, o SENHOR, estou fazendo com que os moços serão mortos sobre os moços e nas ruas dos pés dos moços e nas ruas dos pés dos inimigos. E até o que é dias.""
","""Ó SENHOR Deus, o teu furor me dominou; estou cansado de guardar a tua ira dentro de mim. Então Deus me disse: — Faça cair a minha ira sobre as crianças nas ruas e sobre os moços nas suas reuniões. Maridos e esposas serão levados como prisioneiros, e também os velhinhos.""
",3.797519398891053
24,"""Também a mulher que se chegar a algum animal, para ter ajuntamento com ele, aquela mulher matarás com o animal; certamente morrerão; o seu sangue é sobre eles.""
","""A mulher que se tornou responsável por um animal; ficará impuro para ser animal; ficará impuro com os seus próprios moradores.""
","""Se uma mulher tiver relações com um animal, os dois deverão ser mortos; eles serão responsáveis pela sua própria morte.""
",2.732400715102822
25,"""E à mulher disse: Multiplicarei grandemente a tua dor e a tua conceição; com dor terás filhos; e o teu desejo será para o teu marido, e ele te dominará.""
","""— Mande que o senhor deve fazer com que você tem filhos, e o seu marido será capaz de ajudá-lo na sua dor e o seu marido será destruído e será como o seu próprio filho.""
","""Para a mulher Deus disse: — Vou aumentar o seu sofrimento na gravidez, e com muita dor você dará à luz filhos. Apesar disso, você terá desejo de estar com o seu marido, e ele a dominará.""
",3.9718819975479667
26,"""Depois, disse José a seus irmãos e à casa de seu pai: Eu subirei, e anunciarei a Faraó, e lhe direi: Meus irmãos e a casa de meu pai, que estavam na terra de Canaã, vieram a mim.""
","""Depois José disse ao pai: — José disse a casa de pai: Hoje disse a Faraó, e lhe deu a minha família e lhe deu a terra de Canaã, e lhe deu a terra de Canaã, onde o meu pai estava na terra de Canaã, vieram para o mim.""
","""Depois José disse aos irmãos e à família do pai: — Eu vou falar com o rei do Egito e vou lhe dar a notícia de que os meus irmãos e os parentes do meu pai, que moravam em Canaã, vieram para ficar comigo.""
",12.390516746181541
27,"""Depois, fez chegar o carneiro do holocausto; e Arão e seus filhos puseram as mãos sobre a cabeça do carneiro;""
","""Então Moisés pegou o carneiro o carneiro e Arão e Arão e os seus filhos puseram as mãos na cabeça do carneiro.""
","""Depois Moisés pegou o carneiro que ia ser morto para a oferta queimada, e Arão e os seus filhos puseram as mãos na cabeça do animal.""
",47.43208202042429
28,"""E Davi contou o povo que tinha consigo e pôs sobre eles capitães de cem.""
","""O povo contou o seu povo e pôs os seus oficiais que estavam com medo.""
","""O rei Davi juntou todos os seus soldados, dividiu-os em grupos de mil e em grupos de cem e colocou oficiais para comandá-los.""
",2.578828151108438
29,"""Porque será naquele dia, diz o SENHOR dos Exércitos, que eu quebrarei o seu jugo de sobre o teu pescoço e quebrarei as tuas ataduras; e nunca mais se servirão dele os estranhos,""
","""O SENHOR Todo-Poderoso, diz o que eu, o SENHOR Todo-Poderoso, diz o seu Deus. Eu quebrarei as suas ovelhas e trate com o seu gado e se salva-me. Sou eu, o SENHOR, quem está falando.""
","""O SENHOR Todo-Poderoso diz: — Quando esse dia chegar, eu quebrarei a canga que está no pescoço deles e arrancarei as suas correntes. Então eles não serão mais escravos de estrangeiros.""
",8.178699685943513
30,"""Diante dele temerão os povos; todos os rostos são como a tisnadura da panela.""
","""A sua vida temerão o que é certo, temerão o que é direito.""
","""Eles vão avançando, e todo mundo treme, todos ficam pálidos de medo.""
",2.8927969316143205
31,"""Um certo credor tinha dois devedores; um devia-lhe quinhentos dinheiros, e outro, cinquenta.""
","""— A pessoa que era um homem chamado vinte centímetros de vinte metros de largura.""
","""Jesus disse: — Dois homens tinham uma dívida com um homem que costumava emprestar dinheiro. Um deles devia quinhentas moedas de prata, e o outro, cinquenta,""
",1.4040328254129983
