,src_sent,pred_sent,reference_nvi,bleu_score
0,"""E será que todo aquele que ficar de resto da tua casa virá a inclinar-se diante dele, por uma moeda de prata e por um bocado de pão, e dirá: Rogo-te que me admitas a algum ministério sacerdotal, para que possa comer um pedaço de pão.""
","""O restante dos seus pecados virá para um pedaço de prata e por um pedaço de prata e por um pedaço de prata e sacerdotal, que me registros históricos que me comer para que comer um pedaço de Jezreel”.""
","""Então todo o que restar da sua família virá e se prostrará perante ele, para obter uma moeda de prata e um pedaço de pão. E lhe implorará que o ponha em alguma função sacerdotal, para ter o que comer’ ”.""
",4.735038914803966
1,"""Depois, tomarás um carneiro, e Arão e seus filhos porão as mãos sobre a cabeça do carneiro,""
","""Depois colocarão um carneiro, e seus filhos colocarão as mãos sobre a cabeça do homem.""
","""“Separe um dos cordeiros sobre cuja cabeça Arão e seus filhos terão que colocar as mãos.""
",8.293052535578585
2,"""E a fome era gravíssima na terra.""
","""Todos a fome era dividido na terra.""
","""A fome continuava rigorosa na terra.""
",29.071536848410968
3,"""Vós, todos os habitantes do mundo, e vós, os moradores da terra, quando se arvorar a bandeira nos montes, o vereis; e, quando se tocar a trombeta, o ouvireis.""
","""“Portanto, todos os habitantes do mundo, e vocês, os habitantes da terra, quando se arvorar a trombeta, quando se tocar a sua própria terra.""
","""Todos vocês, habitantes do mundo, vocês que vivem na terra, quando a bandeira for erguida sobre os montes, vocês a verão, e, quando soar a trombeta, vocês a ouvirão.""
",14.358564351828392
4,"""Até o seu amor, o seu ódio e a sua inveja já pereceram e já não têm parte alguma neste século, em coisa alguma do que se faz debaixo do sol.""
","""Até o amor, o seu ódio e a sua inveja já são homens de qualquer homem, que não faz debaixo do sol.""
","""Para eles o amor, o ódio e a inveja há muito desapareceram; nunca mais terão parte em nada do que acontece debaixo do sol.""
",25.59231167509251
5,"""os quais, por castigo, padecerão eterna perdição, ante a face do Senhor e a glória do seu poder,""
","""Eles têm sido por imoralidade sexual do Soberano, a face do Senhor e a glória do Senhor, o seu propósito.""
","""Eles sofrerão a pena de destruição eterna, a separação da presença do Senhor e da majestade do seu poder.""
",6.667489966054595
6,"""então, abre os ouvidos dos homens, e lhes sela a sua instrução,""
","""Sejam os olhos dos homens e lhes lembrar a sua instrução,""
","""ele pode falar aos ouvidos deles e aterrorizá-los com advertências,""
",3.5921434203428912
7,"""Mas, nos profetas de Jerusalém, vejo uma coisa horrenda: cometem adultérios, e andam com falsidade, e esforçam as mãos dos malfeitores, para que não se convertam da sua maldade; eles têm-se tornado para mim como Sodoma, e os moradores dela, como Gomorra.""
","""Mas, nos profetas de Jerusalém vejo uma coisa horrenda: uma coisa horrenda: com as mãos dos adultérios, as mãos dos que não obedeceram à sua sombra; para mim como Sodoma, e os que vivem como Gomorra.""
","""E entre os profetas de Jerusalém vi algo horrível: eles cometem adultério e vivem uma mentira. Encorajam os que praticam o mal, para que nenhum deles se converta de sua impiedade. Para mim são todos como Sodoma; o povo de Jerusalém é como Gomorra.”""
",4.363624181351477
8,"""Assim diz o Senhor JEOVÁ: Um mal, eis que um só mal vem.""
","""“Assim diz o Soberano, o SENHOR: Um homem Um mal pode ser agradável.""
","""Assim diz o Soberano, o SENHOR: “Eis a desgraça! Uma desgraça jamais imaginada vem aí.""
",31.45331527998401
9,"""E os filhos de Jônatas foram Pelete e Zaza; estes foram os filhos de Jerameel.""
","""Estes foram os descendentes de Jônatas foram enganado os filhos de Jerameel.""
","""Estes foram os filhos de Jônatas: Pelete e Zaza. Foram esses os descendentes de Jerameel.""
",34.27902969932101
10,"""Envie-te socorro desde o seu santuário e te sustenha desde Sião.""
","""Quero ti desde o seu santuário e o sustenha desde Sião.""
","""Do santuário te envie auxílio e de Sião te dê apoio.""
",3.9753601762639503
11,"""porque tinha curado a muitos, de tal maneira que todos quantos tinham algum mal se arrojavam sobre ele, para lhe tocarem.""
","""pois os homens tinha sido muitos, exceto a vida que todos os que haviam sido mal para ele para lhe tocarem."" sobre ele para o mesmo.""
","""Pois ele havia curado a muitos, de modo que os que sofriam de doenças ficavam se empurrando para conseguir tocar nele.""
",2.4866848805142303
12,"""E ligaram-se entre si todos, para virem atacar Jerusalém e para os desviarem do seu intento.""
","""Ela encheu-se de todos, para virem Jerusalém e para os puros do seu intento."" amigo.""
","""Todos juntos planejaram atacar Jerusalém e causar confusão.""
",2.8885583899290177
13,"""e dou-lhes a vida eterna, e nunca hão de perecer, e ninguém as arrebatará das minhas mãos.""
","""e dou-lhes a vida eterna. Não hão de mim; ninguém as arrebatará das minhas mãos.""
","""Eu lhes dou a vida eterna, e elas jamais perecerão; ninguém as poderá arrancar da minha mão.""
",8.713533315693871
