,src_sent,pred_sent,reference_nbv,reference_nlth,reference_naa,reference_nvi,bleu_score
0,"""E será que todo aquele que ficar de resto da tua casa virá a inclinar-se diante dele, por uma moeda de prata e por um bocado de pão, e dirá: Rogo-te que me admitas a algum ministério sacerdotal, para que possa comer um pedaço de pão.""
","""E será que todo o resto da sua casa virá a inclinar-se diante dele, por uma moeda de prata e por um bocado de pão, por um bocado de pão, e dirá: Rogo-te para que comer um pedaço de pão.""
","""Então, todos os seus descendentes se curvarão diante dele, mendigando dinheiro e alimento. ‘Por favor’, eles implorarão, ‘arranje-me um trabalho entre os sacerdotes, de maneira que eu tenha pelo menos o que comer’ ”.""
","""E todos os outros descendentes de você que, por acaso, ficarem com vida terão de se curvar diante do rei para pedir dinheiro e comida e implorarão para ajudar os sacerdotes, a fim de terem alguma coisa para comer.""
","""E todo aquele que restar da sua casa virá a inclinar-se diante dele, para obter uma moeda de prata e um bocado de pão. E dirá: ‘Peço que você me dê um dos cargos sacerdotais, para que eu tenha um pedaço de pão para comer.’”""
","""Então todo o que restar da sua família virá e se prostrará perante ele, para obter uma moeda de prata e um pedaço de pão. E lhe implorará que o ponha em alguma função sacerdotal, para ter o que comer’ ”.""
",44.02931410481814
1,"""Depois, tomarás um carneiro, e Arão e seus filhos porão as mãos sobre a cabeça do carneiro,""
","""— Pegue um carneiro, e Arão e seus filhos porão as mãos sobre a cabeça do carneiro,""
","""“Depois traga um dos carneiros, e Arão e seus filhos colocarão as mãos sobre a cabeça dele.""
","""— Depois pegue um dos carneiros, e Arão e os seus filhos porão as mãos na cabeça dele.""
","""— Depois você pegará um dos carneiros, e Arão e seus filhos porão as mãos sobre a cabeça dele.""
","""“Separe um dos cordeiros sobre cuja cabeça Arão e seus filhos terão que colocar as mãos.""
",58.89346209976518
2,"""E a fome era gravíssima na terra.""
","""E a fome era gravíssima
","""A fome persistia e se tornava cada vez pior na terra.""
","""A fome continuava muito grande em Canaã.""
","""A fome continuava gravíssima na terra.""
","""A fome continuava rigorosa na terra.""
",3.258798048281462
3,"""Vós, todos os habitantes do mundo, e vós, os moradores da terra, quando se arvorar a bandeira nos montes, o vereis; e, quando se tocar a trombeta, o ouvireis.""
","""Vós, todos os habitantes do mundo, e vocês, os moradores da terra, quando se arvorar a bandeira nos montes, quando se arvorar a trombeta, quando se tocar a trombeta, o ouvireis.""
","""Quando a bandeira de guerra tremular sobre a montanha, todos os povos do mundo devem prestar atenção! Quando soar a trombeta, todos devem ouvir!""
","""Escutem, todos os povos do mundo, todos os moradores da terra! Vejam a bandeira que será levantada nas montanhas e ouçam o som da corneta.""
","""Todos vocês, habitantes do mundo, os moradores da terra, olhem bem quando a bandeira for levantada nos montes. Quando a trombeta soar, escutem!""
","""Todos vocês, habitantes do mundo, vocês que vivem na terra, quando a bandeira for erguida sobre os montes, vocês a verão, e, quando soar a trombeta, vocês a ouvirão.""
",30.956406053602336
4,"""Até o seu amor, o seu ódio e a sua inveja já pereceram e já não têm parte alguma neste século, em coisa alguma do que se faz debaixo do sol.""
","""Até o seu amor, o seu amor, o seu ódio e a sua inveja já não têm parte do sol.""
","""Para eles, o amor, o ódio e a inveja há muito já passaram. Eles já não têm nada a ver com o que acontece debaixo do sol.""
","""Os seus amores, os seus ódios, as suas paixões, tudo isso morreu com eles. Nunca mais tomarão parte naquilo que acontece neste mundo.""
","""Amor, ódio e inveja para eles já não existem mais; eles estão afastados para sempre de tudo o que se faz debaixo do sol.""
","""Para eles o amor, o ódio e a inveja há muito desapareceram; nunca mais terão parte em nada do que acontece debaixo do sol.""
",20.15432893919432
5,"""os quais, por castigo, padecerão eterna perdição, ante a face do Senhor e a glória do seu poder,""
","""os castigo, por causa do Senhor e a glória do Senhor e a glória do Senhor e a glória do Senhor.""
","""Eles serão castigados numa destruição eterna, expulsos para sempre da presença do Senhor e da glória do seu poder""
","""Eles serão castigados com a destruição eterna e ficarão longe da presença do Senhor e do seu glorioso poder.""
","""Estes sofrerão penalidade de eterna destruição, banidos da face do Senhor e da glória do seu poder,""
","""Eles sofrerão a pena de destruição eterna, a separação da presença do Senhor e da majestade do seu poder.""
",6.305722688509005
6,"""então, abre os ouvidos dos homens, e lhes sela a sua instrução,""
","""então abre os ouvidos dos homens, e lhes sela a sua instrução,""
","""Nessas horas, Deus faz o homem ouvir seus ensinos e o aterroriza com advertências,""
","""Deus fala aos nossos ouvidos, e os seus avisos nos enchem de medo.""
","""então lhes abre os ouvidos e lhes sela a sua instrução,""
","""ele pode falar aos ouvidos deles e aterrorizá-los com advertências,""
",55.67793616623092
7,"""Mas, nos profetas de Jerusalém, vejo uma coisa horrenda: cometem adultérios, e andam com falsidade, e esforçam as mãos dos malfeitores, para que não se convertam da sua maldade; eles têm-se tornado para mim como Sodoma, e os moradores dela, como Gomorra.""
","""Mas, nos profetas de Jerusalém, nos profetas de Jerusalém, vejo uma coisa horrenda: e <unk> as mãos dos malfeitores, para que não se convertam dos malfeitores, para que não se convertam dos malfeitores, para que não se <unk>
","""Entre os profetas de Jerusalém vi algo horrível: Eles traem as esposas e vivem uma mentira. Apoiam quem pratica a maldade, em vez de fazer os pecadores se arrependerem de seus pecados. Esses falsos profetas são, para mim, tão pecadores como os moradores de Sodoma; e o povo de Jerusalém é como os moradores de Gomorra”.""
","""Mas vejo que os profetas de Jerusalém fazem pior ainda: cometem adultério, dizem mentiras, ajudam os outros a fazerem o mal, e assim ninguém para de fazer o que é errado. Para mim, todos eles são como a cidade de Sodoma, são tão maus como o povo de Gomorra.""
","""Mas nos profetas de Jerusalém vejo coisa horrenda: cometem adultério, andam com falsidade e fortalecem as mãos dos malfeitores, para que não se convertam da sua maldade. Para mim, todos eles se tornaram como Sodoma, e os moradores de Jerusalém, como Gomorra.""
","""E entre os profetas de Jerusalém vi algo horrível: eles cometem adultério e vivem uma mentira. Encorajam os que praticam o mal, para que nenhum deles se converta de sua impiedade. Para mim são todos como Sodoma; o povo de Jerusalém é como Gomorra.”""
",29.71819224984248
8,"""Assim diz o Senhor JEOVÁ: Um mal, eis que um só mal vem.""
","""Assim diz o Soberano, o SENHOR: Um mal vem.""
","""Assim diz o Soberano, o SENHOR: “Os castigos virão um atrás do outro.""
","""O que o SENHOR Deus diz é isto: — Cairão sobre vocês desastres, um em cima do outro.""
","""— Assim diz o SENHOR Deus: “Calamidade após calamidade, eis que vêm.""
","""Assim diz o Soberano, o SENHOR: “Eis a desgraça! Uma desgraça jamais imaginada vem aí.""
",53.2039440904694
9,"""E os filhos de Jônatas foram Pelete e Zaza; estes foram os filhos de Jerameel.""
","""Os filhos de Jônatas foram Pelete e Zaza; os filhos de Jerameel.""
","""Os filhos de Jônatas foram: Pelete e Zaza. Todos esses foram descendentes de Jerameel.""
","""e Jônatas foi pai de dois filhos: Pelete e Zaza. Todos esses foram descendentes de Jerameel.""
","""Os filhos de Jônatas foram: Pelete e Zaza; estes foram os filhos de Jerameel.""
","""Estes foram os filhos de Jônatas: Pelete e Zaza. Foram esses os descendentes de Jerameel.""
",62.99259084377397
