,src_sent,pred_sent,reference_naa,bleu_score
0,"""E será que todo aquele que ficar de resto da tua casa virá a inclinar-se diante dele, por uma moeda de prata e por um bocado de pão, e dirá: Rogo-te que me admitas a algum ministério sacerdotal, para que possa comer um pedaço de pão.""
","""Eis que todo aquele que ficar de resto da sua casa virá diante do inclinar-se e por um bocado de prata e por um bocado a pão, e dirá: “Para algum ministério sacerdotal, comer um pedaço de pão.""
","""E todo aquele que restar da sua casa virá a inclinar-se diante dele, para obter uma moeda de prata e um bocado de pão. E dirá: ‘Peço que você me dê um dos cargos sacerdotais, para que eu tenha um pedaço de pão para comer.’”""
",17.51180433351483
1,"""Depois, tomarás um carneiro, e Arão e seus filhos porão as mãos sobre a cabeça do carneiro,""
","""— Pegue um carneiro, e Arão e seus filhos porão as mãos sobre a cabeça do carneiro,""
","""— Depois você pegará um dos carneiros, e Arão e seus filhos porão as mãos sobre a cabeça dele.""
",53.54337051131703
2,"""E a fome era gravíssima na terra.""
","""Também a fome era gravíssima para mim.""
","""A fome continuava gravíssima na terra.""
",5.61222232430573
3,"""Vós, todos os habitantes do mundo, e vós, os moradores da terra, quando se arvorar a bandeira nos montes, o vereis; e, quando se tocar a trombeta, o ouvireis.""
","""Vocês, todos os moradores do mundo, e vocês se tornaram os moradores da terra, quando vocês se tornaram o montes, nos montes, quando se tocar a trombeta, o ouvireis."" o ouvireis."" de vocês.""
","""Todos vocês, habitantes do mundo, os moradores da terra, olhem bem quando a bandeira for levantada nos montes. Quando a trombeta soar, escutem!""
",13.274266251607504
4,"""Até o seu amor, o seu ódio e a sua inveja já pereceram e já não têm parte alguma neste século, em coisa alguma do que se faz debaixo do sol.""
","""Até o amor, o amor, o seu ódio e a sua inveja já pereceram e já não têm parte alguma século, em coisa alguma do que se faz debaixo do sol.""
","""Amor, ódio e inveja para eles já não existem mais; eles estão afastados para sempre de tudo o que se faz debaixo do sol.""
",22.848523472845578
5,"""os quais, por castigo, padecerão eterna perdição, ante a face do Senhor e a glória do seu poder,""
","""Chegando pela videira do ímpio, mas a glória do seu poder,""
","""Estes sofrerão penalidade de eterna destruição, banidos da face do Senhor e da glória do seu poder,""
",24.018433220113963
6,"""então, abre os ouvidos dos homens, e lhes sela a sua instrução,""
","""Então abre os ouvidos dos homens, e lhes dei a sua instrução,"" dizendo:""
","""então lhes abre os ouvidos e lhes sela a sua instrução,""
",28.52636439147137
7,"""Mas, nos profetas de Jerusalém, vejo uma coisa horrenda: cometem adultérios, e andam com falsidade, e esforçam as mãos dos malfeitores, para que não se convertam da sua maldade; eles têm-se tornado para mim como Sodoma, e os moradores dela, como Gomorra.""
","""Mas, nos profetas de Jerusalém, vendo uma coisa horrenda: horrenda: horrenda: adultérios, falsidade, e andam com falsidade, e esforçam com falsidade, e não se convertam para que não se convertam para que não se convertam para mim como Sodoma, como Gomorra.""
","""Mas nos profetas de Jerusalém vejo coisa horrenda: cometem adultério, andam com falsidade e fortalecem as mãos dos malfeitores, para que não se convertam da sua maldade. Para mim, todos eles se tornaram como Sodoma, e os moradores de Jerusalém, como Gomorra.""
",26.66993878128782
8,"""Assim diz o Senhor JEOVÁ: Um mal, eis que um só mal vem.""
","""Assim diz o SENHOR Deus: Um mal, eis que um homem vem.""
","""— Assim diz o SENHOR Deus: “Calamidade após calamidade, eis que vêm.""
",39.84681131627584
9,"""E os filhos de Jônatas foram Pelete e Zaza; estes foram os filhos de Jerameel.""
","""Os filhos de Jônatas foram Pelete e Zaza; estes foram os filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos de Jerameel."" foram: filhos
","""Os filhos de Jônatas foram: Pelete e Zaza; estes foram os filhos de Jerameel.""
",9.166921339645636
10,"""Envie-te socorro desde o seu santuário e te sustenha desde Sião.""
","""É socorro desde o seu santuário e Sião.""
","""Que do seu santuário lhe envie socorro e que desde Sião o sustenha.""
",4.49955558104754
