,src_sent,pred_sent,reference_nbv,bleu_score
0,"""E será que todo aquele que ficar de resto da tua casa virá a inclinar-se diante dele, por uma moeda de prata e por um bocado de pão, e dirá: Rogo-te que me admitas a algum ministério sacerdotal, para que possa comer um pedaço de pão.""
","""O restante da sua família virá de inclinar-se diante de inclinar-se diante de inclinar-se diante de prata e por uma moeda diante de prata e prata de pão, e Rogo-te a moeda e Rogo-te para me servir.""
","""Então, todos os seus descendentes se curvarão diante dele, mendigando dinheiro e alimento. ‘Por favor’, eles implorarão, ‘arranje-me um trabalho entre os sacerdotes, de maneira que eu tenha pelo menos o que comer’ ”.""
",1.2406989091953533
1,"""Depois, tomarás um carneiro, e Arão e seus filhos porão as mãos sobre a cabeça do carneiro,""
","""“Depois pegue um carneiro. Arão e Arão e seus filhos e a cabeça do carneiro,""
","""“Depois traga um dos carneiros, e Arão e seus filhos colocarão as mãos sobre a cabeça dele.""
",23.971626486480332
2,"""E a fome era gravíssima na terra.""
","""e a fome era a fome era gravíssima na terra.""
","""A fome persistia e se tornava cada vez pior na terra.""
",20.595660955382233
3,"""Vós, todos os habitantes do mundo, e vós, os moradores da terra, quando se arvorar a bandeira nos montes, o vereis; e, quando se tocar a trombeta, o ouvireis.""
","""E eu tocar na bandeira do mundo e os moradores da terra quando se arvorar quando se tocar em bandeira da bandeira da terra nos tocar a bandeira da sua trombeta, nos tocar na bandeira da sua casa.""
","""Quando a bandeira de guerra tremular sobre a montanha, todos os povos do mundo devem prestar atenção! Quando soar a trombeta, todos devem ouvir!""
",1.7805390573849336
4,"""Até o seu amor, o seu ódio e a sua inveja já pereceram e já não têm parte alguma neste século, em coisa alguma do que se faz debaixo do sol.""
","""Até o seu amor é debaixo do seu coração e a sua vida, e a sua inveja não têm parte do que faz debaixo do que faz debaixo do que faz debaixo do sol.""
","""Para eles, o amor, o ódio e a inveja há muito já passaram. Eles já não têm nada a ver com o que acontece debaixo do sol.""
",13.428164547253449
5,"""os quais, por castigo, padecerão eterna perdição, ante a face do Senhor e a glória do seu poder,""
","""Essas vez de tomar conta de castigo, e a glória do Senhor e a glória do seu poder,""
","""Eles serão castigados numa destruição eterna, expulsos para sempre da presença do Senhor e da glória do seu poder""
",17.096862609754865
6,"""então, abre os ouvidos dos homens, e lhes sela a sua instrução,""
","""então os homens de guerra e as suas palavras estão cheias de ódio.""
","""Nessas horas, Deus faz o homem ouvir seus ensinos e o aterroriza com advertências,""
",1.4286401328894112
7,"""Mas, nos profetas de Jerusalém, vejo uma coisa horrenda: cometem adultérios, e andam com falsidade, e esforçam as mãos dos malfeitores, para que não se convertam da sua maldade; eles têm-se tornado para mim como Sodoma, e os moradores dela, como Gomorra.""
","""Mas, quando nos profetas de Jerusalém, vejo que não tivesse poupado uma coisa longa e estaríamos completamente arrasados para que eliminar os inimigos de Sodoma, Sodoma, Sodoma, os moradores de Gomorra.""
","""Entre os profetas de Jerusalém vi algo horrível: Eles traem as esposas e vivem uma mentira. Apoiam quem pratica a maldade, em vez de fazer os pecadores se arrependerem de seus pecados. Esses falsos profetas são, para mim, tão pecadores como os moradores de Sodoma; e o povo de Jerusalém é como os moradores de Gomorra”.""
",2.8781267776810826
8,"""Assim diz o Senhor JEOVÁ: Um mal, eis que um só mal vem.""
","""Assim diz o Soberano, o SENHOR: Quando o meu coração está comigo.""
","""Assim diz o Soberano, o SENHOR: “Os castigos virão um atrás do outro.""
",48.97532620381683
9,"""E os filhos de Jônatas foram Pelete e Zaza; estes foram os filhos de Jerameel.""
","""Os descendentes de Jônatas Jônatas e os chefes de famílias de Jerameel.""
","""Os filhos de Jônatas foram: Pelete e Zaza. Todos esses foram descendentes de Jerameel.""
",18.842888419335743
