,src_sent,pred_sent,reference_nvi,bleu_score
0,"""E será que todo aquele que ficar de resto da tua casa virá a inclinar-se diante dele, por uma moeda de prata e por um bocado de pão, e dirá: Rogo-te que me admitas a algum ministério sacerdotal, para que possa comer um pedaço de pão.""
","""Todo o restante do seu palácio virá diante de sua casa diante de prata e por outro lado por meio de prata e dirá: “ ‘Tu sacerdotal, que me templo sacerdotal, que me templo sacerdotal, para que possa comer um animal”.""
","""Então todo o que restar da sua família virá e se prostrará perante ele, para obter uma moeda de prata e um pedaço de pão. E lhe implorará que o ponha em alguma função sacerdotal, para ter o que comer’ ”.""
",4.491185984939797
1,"""Depois, tomarás um carneiro, e Arão e seus filhos porão as mãos sobre a cabeça do carneiro,""
","""Depois disso um carneiro e Arão e seus filhos colocarão as mãos sobre a cabeça do carneiro,"" ,""
","""“Separe um dos cordeiros sobre cuja cabeça Arão e seus filhos terão que colocar as mãos.""
",14.962848372546674
2,"""E a fome era gravíssima na terra.""
","""De fome era preso na terra.""
","""A fome continuava rigorosa na terra.""
",33.03164318013809
3,"""Vós, todos os habitantes do mundo, e vós, os moradores da terra, quando se arvorar a bandeira nos montes, o vereis; e, quando se tocar a trombeta, o ouvireis.""
","""“Chorem os habitantes do mundo, e vocês, os habitantes da terra, quando vocês se arvorar a bandeira a bandeira para desamparadas, quando se trombeta, a trombeta, o montes, o entulho.""
","""Todos vocês, habitantes do mundo, vocês que vivem na terra, quando a bandeira for erguida sobre os montes, vocês a verão, e, quando soar a trombeta, vocês a ouvirão.""
",15.756751766261829
4,"""Até o seu amor, o seu ódio e a sua inveja já pereceram e já não têm parte alguma neste século, em coisa alguma do que se faz debaixo do sol.""
","""Até o seu amor, o seu ódio e a sua inveja foram mortos e já não têm parte para coisa uns do sol.""
","""Para eles o amor, o ódio e a inveja há muito desapareceram; nunca mais terão parte em nada do que acontece debaixo do sol.""
",16.219201320326388
5,"""os quais, por castigo, padecerão eterna perdição, ante a face do Senhor e a glória do seu poder,""
","""os dias depois, por meio destas coisas.""
","""Eles sofrerão a pena de destruição eterna, a separação da presença do Senhor e da majestade do seu poder.""
",1.5924210286022182
6,"""então, abre os ouvidos dos homens, e lhes sela a sua instrução,""
","""Eles os ouvidos dos homens e lhes deram atenção a sua instrução,""
","""ele pode falar aos ouvidos deles e aterrorizá-los com advertências,""
",3.5148478313698046
7,"""Mas, nos profetas de Jerusalém, vejo uma coisa horrenda: cometem adultérios, e andam com falsidade, e esforçam as mãos dos malfeitores, para que não se convertam da sua maldade; eles têm-se tornado para mim como Sodoma, e os moradores dela, como Gomorra.""
","""Mas, nos profetas de Jerusalém vejo uma mãos horrenda: com uma mãos horrenda: com falsidade, para ver as mãos para que não se convertam se convertam não se convertam se convertam e os habitantes dela, como os habitantes dela, como Gomorra.""
","""E entre os profetas de Jerusalém vi algo horrível: eles cometem adultério e vivem uma mentira. Encorajam os que praticam o mal, para que nenhum deles se converta de sua impiedade. Para mim são todos como Sodoma; o povo de Jerusalém é como Gomorra.”""
",4.187255618225512
8,"""Assim diz o Senhor JEOVÁ: Um mal, eis que um só mal vem.""
","""Assim diz o Soberano, o SENHOR: Na mesma forma, ele um mal é capaz de desejo.""
","""Assim diz o Soberano, o SENHOR: “Eis a desgraça! Uma desgraça jamais imaginada vem aí.""
",39.22967662532704
9,"""E os filhos de Jônatas foram Pelete e Zaza; estes foram os filhos de Jerameel.""
","""Os filhos de Jônatas foram derrubados; os descendentes de Jerameel.""
","""Estes foram os filhos de Jônatas: Pelete e Zaza. Foram esses os descendentes de Jerameel.""
",30.50408200049272
10,"""Envie-te socorro desde o seu santuário e te sustenha desde Sião.""
","""Envie-te socorro desde o seu santuário e os governa desde Sião.""
","""Do santuário te envie auxílio e de Sião te dê apoio.""
",3.9753601762639503
