,arc,naa,nbv,nlth,nvi
3582,"E junto a ele assentará as suas tendas a tribo de Simeão; e Selumiel, filho de Zurisadai, será príncipe dos filhos de Simeão. E o seu exército e os que foram contados deles foram cinquenta e nove mil e trezentos.","E junto a ele acampará a tribo de Simeão; e Selumiel, filho de Zurisadai, será chefe dos filhos de Simeão. E o seu exército, segundo o censo, foram cinquenta e nove mil e trezentos.","A tribo de Simeão acampará ao lado de Rúben. O chefe de Simeão será Selumiel, filho de Zurisadai; e o seu exército, segundo o censo, é de 59.300 homens.","Ao lado deles acampará o exército da tribo de Simeão. Esse exército tem cinquenta e nove mil e trezentos homens, e o chefe é Selumiel, filho de Zurisadai.","A tribo de Simeão acampará ao lado de Rúben. O líder de Simeão será Selumiel, filho de Zurisadai. Seu exército é de 59.300 homens."
16398,"Pela longanimidade se persuade o príncipe, e a língua branda quebranta os ossos.","Com paciência se convence um príncipe, e a língua branda quebra ossos.","Seja paciente e você persuadirá o príncipe; fale sempre com delicadeza, pois assim você pode vencer todas as dificuldades.",A paciência convence até as autoridades; a perseverança pode vencer qualquer dificuldade.,"Com muita paciência pode-se convencer a autoridade, e a língua branda quebra até ossos."
9004,"E sucedeu que, à sétima vez, disse: Eis aqui uma pequena nuvem, como a mão de um homem, subindo do mar. Então, disse ele: Sobe e dize a Acabe: Aparelha o teu carro e desce, para que a chuva te não apanhe.","Na sétima vez o servo disse: — Eis que se levanta do mar uma nuvem pequena como a palma da mão de um homem. Então Elias disse: — Suba e diga a Acabe: “Apronte o seu carro e desça, para que a chuva não o detenha.”","Finalmente, na sétima vez, o servo exclamou: “Vejo que sobe do mar uma nuvem pequena, do tamanho da mão de um homem”. Então Elias disse: “Vá depressa dizer a Acabe que pegue o seu carro e desça a montanha, antes que a chuva o impeça!”","Na sétima vez, ele voltou e disse: — Eu vi subindo do mar uma nuvem pequena, do tamanho da mão de um homem. Então Elias mandou: — Vá aonde está o rei Acabe e lhe diga que apronte o carro e volte para casa; se não, a chuva não vai deixar.","Na sétima vez o servo disse: “Uma nuvem tão pequena quanto a mão de um homem está se levantando do mar”. Então Elias disse: “Vá dizer a Acabe: Prepare o seu carro e desça, antes que a chuva o impeça”."
26931,"E, sendo-me notificado que os judeus haviam de armar ciladas a esse homem, logo to enviei, mandando também aos acusadores que perante ti digam o que tiverem contra ele. Passa bem.","Sendo eu informado de que ia haver uma emboscada contra o homem, tratei de enviá-lo imediatamente ao senhor, intimando também os acusadores a irem dizer, na sua presença, o que eles têm contra ele. Passe bem.”","Mas quando fui informado de uma conspiração para matar o acusado, decidi mandar Paulo a V. Exa., e direi aos acusadores dele que levem suas denúncias à sua presença”.","Quando fui informado de que havia um plano para matá-lo, resolvi mandá-lo ao senhor. E disse para aqueles judeus que fizessem as acusações na sua presença. “Saúde. “Cláudio Lísias.”","Quando fui informado de que estava sendo preparada uma cilada contra ele, enviei-o imediatamente a Vossa Excelência. Também ordenei que os seus acusadores apresentassem a Vossa Excelência aquilo que têm contra ele”."
26955,"os quais convinha que estivessem presentes perante ti e me acusassem, se alguma coisa contra mim tivessem.","os quais deviam comparecer diante do senhor e fazer as acusações, se tivessem alguma coisa contra mim.","Mas estavam lá alguns judeus da província da Ásia, os quais deveriam estar aqui diante do senhor apresentando acusações, se eles têm alguma coisa contra mim.","Porém alguns judeus da província da Ásia estavam lá. São eles que devem se apresentar diante do senhor e fazer as acusações, se é que têm alguma coisa contra mim.","Mas há alguns judeus da província da Ásia que deveriam estar aqui diante de ti e apresentar acusações, se é que têm algo contra mim."
10439,"E pôs guarnições em Edom, e todos os edomitas ficaram servos de Davi; e o SENHOR guardava a Davi, por onde quer que ia.","Pôs guarnições em Edom, e todos os edomitas se tornaram servos de Davi. E o SENHOR dava vitórias a Davi por onde quer que ele ia.",Ele colocou guarnições militares em Edom e sujeitou os edomitas a Davi todos os anos. O SENHOR dava a Davi vitórias em todos os lugares onde ia.,"Ele colocou acampamentos militares em todo o país de Edom, e o povo dali ficou debaixo do domínio de Davi. O SENHOR fez com que Davi fosse vitorioso em todos os lugares aonde ia.","Depois colocou guarnições militares em Edom, sujeitando todos os edomitas a Davi. O SENHOR dava vitórias a Davi em todos os lugares aonde ia."
30112,"Visto como derramaram o sangue dos santos e dos profetas, também tu lhes deste sangue a beber; porque disto são merecedores.","Porque derramaram sangue de santos e de profetas, também lhes deste sangue para beber. É o que merecem.”","pois os seus santos e profetas foram mortos como mártires e o sangue deles foi derramado sobre a terra; e agora, em troca, o Senhor deu o sangue para eles beberem. Eles estão recebendo o que merecem”.","Os maus derramaram o sangue do povo de Deus e dos profetas, e por isso tu lhes deste sangue para beber. Eles estão recebendo o que merecem.","pois eles derramaram o sangue dos teus santos e dos teus profetas, e tu lhes deste sangue para beber, como eles merecem”."
12921,"Dizia eu: Falem os dias, e a multidão dos anos ensine a sabedoria.","Pensei assim: ‘Que falem os que têm mais idade, e que a multidão dos anos ensine a sabedoria.’",Pensei comigo mesmo: ‘É melhor deixar que os mais velhos falem para ensinar a sabedoria’.,"Pensei assim: ‘Que fale a voz da experiência, que os muitos anos mostrem a sua sabedoria!’","Os que têm idade é que devem falar, pensava eu, os anos avançados é que devem ensinar sabedoria."
13404,"Quanto a mim, contemplarei a tua face na justiça; eu me satisfarei da tua semelhança quando acordar.","Eu, porém, na justiça contemplarei a tua face; quando acordar, me satisfarei com a tua semelhança.","Mas, para mim, o que realmente tem valor é chegar diante do Senhor e ver a sua face. Assim, quando eu despertar, ficarei feliz ao ver a semelhança do Senhor.","Mas eu te verei, pois tenho vivido corretamente; e, quando acordar, a tua presença me encherá de alegria.","Quanto a mim, feita a justiça, verei a tua face; quando despertar, ficarei satisfeito ao ver a tua semelhança."
23971,"Vigiai e orai, para que não entreis em tentação; o espírito, na verdade, está pronto, mas a carne é fraca.","Vigiem e orem, para que não caiam em tentação; o espírito, na verdade, está pronto, mas a carne é fraca.","Vigiem e orem para que não caiam em tentação. Pois embora o espírito esteja preparado, o corpo é fraco”.",Vigiem e orem para que não sejam tentados. É fácil querer resistir à tentação; o difícil mesmo é conseguir.,"Vigiem e orem para que não caiam em tentação. O espírito está pronto, mas a carne é fraca.”"
